,,,,Only Sample Data is provided to avoid unwanted Duplication,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
index,Order ID,Cust ID,Gender,Age,Date,Status,Channel ,SKU,Category,Size,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B
1,171-1029312-3038738,1029312,Women,44,,Delivered,,JNE1233-BLUE-KR-031-XXL,kurta,XXL,1,INR,376,MOHALI,,140301,IN,FALSE
2,405-2183842-2225946,2183842,Women,29,,Delivered,,SET414-KR-NP-L,Set,L,1,INR,1449,GURUGRAM,,122002,IN,FALSE
3,171-1641533-8921966,1641533,Women,67,,Delivered,,SET261-KR-PP-S,Set,S,1,INR,453,KOLKATA,,700029,IN,FALSE
4,404-7490807-6300351,7490807,Women,20,,Delivered,,SET110-KR-PP-M,Set,M,1,INR,729,THANJAVUR,,613007,IN,FALSE
5,403-9293516-4577154,,,,,,,,,,,,,,,,,FALSE
6,407-1298130-0368305,1298130,Men,49,,Delivered,,JNE3797-KR-XXL,Western Dress,XXL,One,INR,735,SANGLI MIRAJ KUPWAD,,416436,IN,FALSE
7,407-1298130-0368305,1298130,W,23,,Delivered,,JNE3801-KR-XXL,kurta,XXL,One,INR,735,BENGALURU,,560029,IN,FALSE
8,171-5561216-3398711,5561216,W,70,,Delivered,,JNE3405-KR-M,kurta,M,One,INR,435,GURUGRAM,,122001,IN,FALSE
9,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,
26,403-5438780-7231546,5438780,Women,37,,Delivered,,MEN5025-KR-XXL,kurta,XXL,1,INR,533,INDORE,,452014,IN,FALSE
27,406-8343960-8137102,8343960,Women,62,,Delivered,,JNE3690-TU-XL,Top,XL,1,INR,484,DAVANAGERE,,577004,IN,FALSE
28,406-0986513-0498758,986513,Men,20,,Delivered,,SET184-KR-PP-XXXL,Set,3XL,1,INR,563,RUDRAPUR,,263153,IN,FALSE
29,406-0947452-6044339,947452,Men,77,,Delivered,,JNE3797-KR-XXL,Western Dress,XXL,1,INR,735,CHENNAI,,600103,IN,FALSE
30,406-1326018-3426760,1326018,Men,26,,Delivered,,SET183-KR-DH-XS,Set,XS,1,INR,759,PRAYAGRAJ,,230304,IN,FALSE
31,406-9281717-2212317,9281717,Men,40,,Delivered,,JNE3797-KR-XXL,Western Dress,XXL,1,INR,715,GREAT NICOBAR,,744302,IN,FALSE
32,408-6866119-6793128,6866119,Men,52,,Delivered,,J0414-DR-XXL,Western Dress,XXL,1,INR,885,AHMEDABAD,,380058,IN,FALSE
33,403-9400852-1350710,9400852,Women,38,,Delivered,,JNE3601-KR-M,kurta,M,1,INR,301,SALEM,,636007,IN,FALSE
34,408-2606836-0473931,2606836,Men,39,,Delivered,,J0231-SKD-XL,Set,XL,1,INR,1238,GUWAHATI,,781020,IN,FALSE
35,405-8481179-1130753,8481179,Men,37,,Delivered,,SET320-KR-NP-S,Set,S,1,INR,856,CHENNAI,,600119,IN,FALSE
36,406-9686095-5057139,9686095,Women,73,,Delivered,,J0351-SET-L,Set,L,1,INR,650,VADODARA,,390021,IN,FALSE
37,404-9033015-7527503,9033015,Women,41,,Delivered,,JNE3368-KR-XL,kurta,XL,1,INR,449,Payyannur,,670309,IN,FALSE
38,402-6932218-7744338,6932218,Women,41,,Delivered,,SET333-KR-DPT-XS,Set,XS,1,INR,967,CHANDIGARH,,160036,IN,FALSE
39,408-8796291-5026713,8796291,Women,35,,Delivered,,JNE3423-KR-XL,kurta,XL,1,INR,399,GURUGRAM,,122001,IN,FALSE
40,407-9654105-3225150,9654105,Women,72,,Delivered,,J0230-SKD-M,Set,M,1,INR,969,MOHALI,,160062,IN,FALSE
41,402-0637532-2672317,637532,Men,39,,Delivered,,J0159-DR-L,Western Dress,L,1,INR,599,BENGALURU,,560061,IN,FALSE
42,402-0637532-2672317,637532,Women,39,,Delivered,,J0334-TP-S,Top,S,1,INR,545,PUNE,,411051,IN,FALSE
43,404-3393819-5081930,3393819,Women,44,,Delivered,,SET397-KR-NP-XS,Set,XS,1,INR,1115,PUNE,,412207,IN,FALSE
44,406-5673590-1054739,5673590,Women,22,,Delivered,,SET389-KR-NP-XL,Set,XL,1,INR,648,SONIPAT,,131001,IN,FALSE
45,403-5846829-5098742,5846829,Women,64,,Delivered,,J0248-KR-DPT-S,Set,S,1,INR,999,NELLORE,,524002,IN,FALSE
46,171-4087298-3807569,4087298,Women,30,,Delivered,,NW001-TP-PJ-XXL,Set,XXL,1,INR,563,TIRUCHIRAPPALLI,,620101,IN,FALSE
47,408-7694743-7590732,7694743,Women,46,,Delivered,,J0092-SET-S,Set,S,1,INR,833,BENGALURU,,562107,IN,FALSE
48,406-8068610-1108329,8068610,Women,48,,Delivered,,JNE3770-KR-S,kurta,S,1,INR,487,PUNE,,411014,IN,FALSE
49,171-7917674-9759550,7917674,Women,25,,Delivered,,JNE3703-KR-M,kurta,M,1,INR,292,VARANASI,,221010,IN,FALSE
50,406-2709798-4585159,2709798,M,35,,Delivered,,SET210-KR-PP-M,Set,M,1,INR,558,UDUPI,,574118,IN,FALSE
51,405-4213846-6141157,4213846,Women,27,,Delivered,,J0003-SET-M,Set,M,1,INR,664,HYDERABAD,,500039,IN,FALSE
52,407-7381557-9088310,7381557,Women,21,,Delivered,,J0230-SKD-M,Set,M,1,INR,1112,Allahabad,,211001,IN,FALSE
53,403-0817885-3061963,817885,Women,43,,Delivered,,J0113-TP-S,Top,S,1,INR,540,SOUTH DELHI,,110017,IN,FALSE
54,171-2439278-5433152,2439278,M,39,,Delivered,,SET268-KR-NP-XS,Set,XS,1,INR,698,KHALILABAD,,272175,IN,FALSE
55,405-8874360-4913961,8874360,M,23,,Delivered,,J0004-SKD-XXL,Set,XXL,1,INR,1115,NEW DELHI,,110016,IN,FALSE
56,408-4675134-5301129,4675134,Women,58,,Delivered,,SET209-KR-PP-XXL,Set,XXL,1,INR,507,HYDERABAD,,500008,IN,FALSE
57,402-9907523-6175562,9907523,M,27,,Delivered,,SET343-KR-NP-XS,Set,XS,1,INR,916,SULTANPUR,,228001,IN,FALSE
58,402-9907523-6175562,9907523,Women,38,,Delivered,,SAR008,Saree,Free,1,INR,737,MURWARA KATNI,,483501,IN,FALSE
59,407-7643005-7856329,7643005,M,75,,Delivered,,SET402-KR-NP-XXXL,Set,3XL,1,INR,988,MUMBAI,,400063,IN,FALSE
60,407-0381223-7065145,381223,M,47,,Delivered,,J0095-SET-XL,Set,XL,1,INR,633,CHENNAI,,600066,IN,FALSE
61,407-8538186-6616316,8538186,Women,62,,Delivered,,SET348-KR-NP-M,Set,M,1,INR,899,MAHENDRAGARH,,123029,IN,FALSE
62,403-1785530-0119510,1785530,Women,42,,Delivered,,PJNE2100-KR-N-6XL,kurta,6XL,1,INR,764,BENGALURU,,560103,IN,FALSE
63,403-0824767-1871567,824767,Women,34,,Delivered,,MEN5004-KR-XXXL,kurta,3XL,1,INR,688,CHENNAI,,600061,IN,FALSE
64,404-8169153-4411563,8169153,Women,20,,Delivered,,JNE3567-KR-L,kurta,L,1,INR,399,Bangalore,,560054,IN,FALSE
65,406-5169174-3536336,5169174,Women,44,,Cancelled,,JNE3568-KR-XL,kurta,XL,1,INR,399,KALYAN,,421306,IN,FALSE
66,402-2130722-4734768,2130722,Women,24,,Delivered,,J0090-TP-S,Top,S,1,INR,563,AHMEDABAD,,382470,IN,FALSE
67,404-8399604-8880365,8399604,Women,31,,Delivered,,JNE3461-KR-XL,kurta,XL,1,INR,363,KOLKATA,,700028,IN,FALSE
68,403-8213196-3804353,8213196,M,75,,Delivered,,SET218-KR-NP-S,Set,S,1,INR,667,BOKARO STEEL CITY,,827001,IN,FALSE
69,408-3286680-0659521,3286680,Women,46,,Delivered,,SAR006,Saree,Free,1,INR,685,Panchkula,,134116,IN,FALSE
70,403-6014983-8111514,6014983,Men,48,,Delivered,,SET272-KR-PP-S,Set,S,1,INR,852,PUNE,,411021,IN,FALSE
71,403-6950860-5590722,6950860,Women,26,,Delivered,,SAR018,Saree,Free,1,INR,1075,PATNA,,801113,IN,FALSE
72,406-7030051-2742704,7030051,Women,36,,Delivered,,J0094-KR-XXL,kurta,XXL,1,INR,563,NEW DELHI,,110084,IN,FALSE
73,404-6041386-2803516,6041386,Men,23,,Delivered,,J0283-SET-XXL,Set,XXL,1,INR,1072,KALYAN,,421201,IN,FALSE
74,404-7958450-6860328,7958450,Men,32,,Delivered,,SET339-KR-NP-XS,Set,XS,1,INR,702,Bengaluru,,560095,IN,FALSE
75,408-7814128-2203552,7814128,Women,26,,Delivered,,SAR003,Saree,Free,1,INR,476,NAVI MUMBAI,,400705,IN,FALSE
76,403-9793483-6877106,9793483,Men,45,,Delivered,,SET324-KR-NP-XL,Set,XL,1,INR,597,BENGALURU,,560021,IN,FALSE
77,402-5297818-3665137,5297818,Women,49,,Delivered,,SET403-KR-NP-XL,Set,XL,1,INR,969,VARKALA,,695141,IN,FALSE
78,171-2070545-3786767,2070545,Women,21,,Delivered,,J0349-SET-XS,Set,XS,1,INR,801,BIKANER,,334001,IN,FALSE
79,406-1756314-4546723,1756314,Women,39,,Delivered,,JNE3560-KR-XL,kurta,XL,1,INR,481,GURUGRAM,,122001,IN,FALSE
80,404-8786932-9447520,8786932,Men,55,,Delivered,,NW034-TP-PJ-M,Set,M,1,INR,595,BHARUCH,,392001,IN,FALSE
81,408-8573929-1921943,8573929,Women,30,,Delivered,,JNE3518-KR-XXL,kurta,XXL,1,INR,458,MUMBAI,,400097,IN,FALSE
82,408-8573929-1921943,8573929,Women,46,,Delivered,,JNE3160-KR-M,kurta,M,1,INR,729,kolkata,,700082,IN,FALSE
83,407-8980704-1408352,8980704,Women,59,,Cancelled,,JNE3487-KR-M,kurta,M,1,INR,345,NOIDA,,201304,IN,FALSE
84,171-2516658-6849136,2516658,Women,55,,Delivered,,JNE3560-KR-M,kurta,M,1,INR,481,CHENNAI,,600077,IN,FALSE
85,404-0105497-2446747,105497,Women,37,,Refunded,,JNE3373-KR-S,kurta,S,1,INR,382,BHANDARA,,441701,IN,FALSE
86,406-6468339-1490707,6468339,Men,19,,Delivered,,SET377-KR-NP-XS,Set,XS,1,INR,1036,MUMBAI,,400093,IN,FALSE
87,402-6702100-7257107,6702100,Women,49,,Returned,,JNE3620-KR-S,kurta,S,1,INR,322,NEW DELHI,,110084,IN,FALSE
88,404-6243782-8199521,6243782,Women,33,,Delivered,,JNE3822-KR-L,kurta,L,1,INR,449,BHATKAL,,581320,IN,FALSE
89,403-3641651-0348348,3641651,Men,22,,Delivered,,SET184-KR-PP-L,Set,L,1,INR,573,MUMBAI,,400098,IN,FALSE
90,402-7662369-2719545,7662369,Women,18,,Delivered,,SET366-KR-NP-S,Set,S,1,INR,1163,RANCHI,,834008,IN,FALSE
91,403-8575376-3341124,8575376,Women,32,,Delivered,,SET253-KR-NP-L,Set,L,1,INR,737,HYDERABAD,,500020,IN,FALSE
92,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,
102,408-3094141-6564325,3094141,W,40,,Delivered,,JNE3466-KR-XXL,kurta,XXL,1,INR,771,TIRUCHIRAPPALLI,,620017,IN,FALSE
103,405-8966819-1579535,8966819,W,38,,Delivered,,JNE3805-KR-M,kurta,M,1,INR,487,PUDUVAYAL,,630108,IN,FALSE
104,404-2716293-0209115,2716293,W,21,,Delivered,,MEN5019-KR-XL,kurta,XL,1,INR,472,HYDERABAD,,500045,IN,FALSE
105,403-9848998-6793100,9848998,Women,38,,Delivered,,SAR015,Saree,Free,1,INR,790,UDAIPUR,,313001,IN,FALSE
106,171-6592212-4665122,6592212,Women,25,,Delivered,,JNE3794-KR-XS,kurta,XS,1,INR,517,PUDUCHERRY,,605004,IN,FALSE
107,404-5467416-2849910,5467416,Women,35,,Delivered,,SET135-KR-PP-XXXL,Set,3XL,1,INR,646,GREATER NOIDA,,201310,IN,FALSE
108,408-1265802-4542716,1265802,Women,23,,Delivered,,J0338-DR-XL,Western Dress,XL,1,INR,743,SECUNDERABAD,,500011,IN,FALSE
109,171-9585512-1214755,9585512,Women,61,,Delivered,,JNE2251-KR-537-XXL,kurta,XXL,1,INR,399,new delhi,,110063,IN,FALSE
110,405-6513430-0509918,6513430,Women,40,,Delivered,,SET272-KR-PP-M,Set,M,1,INR,852,GREATER NOIDA,,201306,IN,FALSE
111,406-7694216-8034754,7694216,Men,32,,Delivered,,SET197-KR-NP-M,Set,M,1,INR,759,MYSURU,,570034,IN,FALSE
112,408-5911668-5550717,5911668,Women,31,,Delivered,,J0301-TP-XL,Top,XL,1,INR,493,NEW DELHI,,110059,IN,FALSE
113,404-5364170-6523532,5364170,Women,29,,Delivered,,JNE3518-KR-XXL,kurta,XXL,1,INR,458,JAIPUR,,303002,IN,FALSE
114,405-3614770-5449966,3614770,Women,27,,Delivered,,JNE3405-KR-M,kurta,M,1,INR,435,BIDAR,,585401,IN,FALSE
115,404-1246579-1197122,1246579,Women,48,,Delivered,,SET251-KR-PP-XS,Set,XS,1,INR,759,BABUGARH,,245201,IN,FALSE
116,406-6695683-9996343,6695683,Men,30,,Cancelled,,SET282-KR-PP-L,Set,L,1,INR,1043,THANE,,400606,IN,FALSE
117,404-1994186-3865941,1994186,Men,71,,Delivered,,SET268-KR-NP-M,Set,M,1,INR,698,UDAIPUR,,313001,IN,FALSE
118,404-0172471-1609129,172471,Women,41,,Delivered,,JNE3648-TP-N-S,Top,S,1,INR,518,DOHAD,,389151,IN,FALSE
119,406-0681598-4591519,681598,Men,28,,Delivered,,J0308-DR-XXL,Western Dress,XXL,1,INR,625,Barasat,,700124,IN,FALSE
120,407-1388772-0703516,1388772,Women,19,,Delivered,,MEN5026-KR-XXXL,kurta,3XL,1,INR,499,INDORE,,452001,IN,FALSE
121,408-3131740-5067529,3131740,Women,25,,Delivered,,JNE3642-TP-XS,Top,XS,1,INR,321,MUMBAI,,400053,IN,FALSE
122,402-5496750-0331528,5496750,Women,57,,Delivered,,SET229-KR-PP-XS,Set,XS,1,INR,845,NAGAUR,,341305,IN,FALSE
123,402-5496750-0331528,5496750,Women,73,,Delivered,,J0132-KR-XS,kurta,XS,1,INR,358,NEW DELHI,,110085,IN,FALSE
124,403-0816846-6852364,816846,Women,50,,Delivered,,JNE1234-MULTI-KR-032-XL,kurta,XL,1,INR,307,Coimbatore,,641031,IN,FALSE
125,408-0278400-0572330,278400,Women,31,,Delivered,,PJNE3068-KR-6XL,kurta,6XL,1,INR,692,NAVI MUMBAI,,400701,IN,FALSE
126,403-8079606-6799503,8079606,Men,33,,Delivered,,SET313-KR-NP-XS,Set,XS,1,INR,1099,NEW DELHI,,110003,IN,FALSE
127,171-4636514-5082740,4636514,Women,31,,Delivered,,SET282-KR-PP-M,Set,M,1,INR,1033,BARASAT,,700124,IN,FALSE
128,406-9847734-4402766,9847734,Women,44,,Delivered,,JNE1525-KR-UDF19BLACK-XS,kurta,XS,1,INR,301,COIMBATORE,,641027,IN,FALSE
129,403-8860022-0290733,8860022,Women,26,,Delivered,,JNE3691-TU-L,Top,L,1,INR,625,RANCHI,,834002,IN,FALSE
130,408-1669205-3638714,1669205,Women,25,,Delivered,,JNE3399-KR-M,kurta,M,1,INR,435,SANGAREDDY,,502001,IN,FALSE
131,406-6737238-3993139,6737238,Women,49,,Delivered,,JNE3790-KR-XXXL,kurta,3XL,1,INR,307,PUNE,,411041,IN,FALSE
132,402-9605076-2885164,9605076,Men,59,,Delivered,,SET268-KR-NP-L,Set,L,1,INR,788,Buxar,,802133,IN,FALSE
133,406-9542566-5579564,9542566,Women,21,,Delivered,,SET393-KR-NP-M,Set,M,1,INR,999,KANJIKODE INDUSTRIAL AREA,,678623,IN,FALSE
134,408-1540604-8952365,1540604,Women,,,Delivered,,J0329-KR-XS,kurta,XS,1,INR,852,HYDERABAD,,508126,IN,FALSE
135,405-9367631-7902714,9367631,Women,,,Delivered,,SET397-KR-NP  -M,Set,M,1,INR,999,ALLAHABAD,,211002,IN,FALSE
136,403-0595996-9383507,595996,Men,,,Delivered,,J0008-SKD-M,Set,M,1,INR,1075,DIU,,362520,IN,FALSE
137,407-8256896-7645127,8256896,Men,,,Delivered,,SET320-KR-NP-S,Set,S,1,INR,845,PATNA,,801505,IN,FALSE
138,407-1064158-5677135,1064158,Men,,,Delivered,,J0003-SET-S,Set,S,1,INR,664,Yacharam,,501509,IN,FALSE
139,407-2727693-8699567,2727693,Women,,,Delivered,,SET304-KR-DPT-M,Set,M,1,INR,1186,Kannur,,670304,IN,FALSE
140,171-6844452-3288337,,Men,,,Returned,,J0382-SKD-XXL,Set,XXL,1,INR,1258,Port blair,,744103,IN,FALSE
141,171-6908439-1987505,,Women,,,Refunded,,JNE3405-KR-XXL,kurta,XXL,1,INR,399,MUZAFFARNAGAR,,251001,IN,FALSE
142,406-9626742-4153157,,Men,,,Delivered,,JNE3797-KR-A-M,Western Dress,M,1,INR,771,MANMAD,,423104,IN,FALSE
143,403-9383537-0791567,,Women,,,Delivered,,JNE3611-KR-XXL,kurta,XXL,1,INR,459,SURYAPET,,508213,IN,FALSE
144,403-6048785-9857964,,Women,,,Delivered,,JNE3546-KR-L,kurta,L,1,INR,468,BENGALURU,,560100,IN,FALSE
145,402-1040945-8225167,,Women,,,Delivered,,MEN5007-KR-L,kurta,L,1,INR,475,PIMPRI CHINCHWAD,,411033,IN,FALSE
146,171-8224545-5941925,,Men,,,Delivered,,SET333-KR-DPT-M,Set,M,1,INR,967,Kollam,,691601,IN,FALSE
147,405-8391201-0161964,,Men,,,Delivered,,JNE3860-DR-L,Western Dress,L,1,INR,614,BENGALURU,,560099,IN,FALSE
148,406-2036568-3507558,,Women,,,Delivered,,SET268-KR-NP-L,Set,L,1,INR,788,Vadodara,,390024,IN,FALSE
149,407-0131231-1980322,,Women,,,Returned,,J0382-SKD-XS,Set,XS,1,INR,1173,BENGALURU,,560004,IN,FALSE
150,407-0131231-1980322,,Women,,,Returned,,J0112-TP-M,Top,M,1,INR,359,lucknow,,226010,IN,FALSE
